Cycle,Time (s),Voltage (V),Capacity (mAh)
1,1800.000354528165,2.6305909,1.3263924254311461e-08
1,1810.000354275544,2.33599,0.0003580277133310835
1,1820.000354022923,2.1209116,0.0007160578856542706
1,1830.000353770301,1.9520462,0.001074096540561981
1,1840.00035351768,1.8126236,0.001432112967212995
1,1850.000353265059,1.6941879,0.001790122707313962
1,1860.000353012438,1.5905443,0.002148120964157913
1,1870.000352759816,1.5021129,0.002506177160348329
1,1880.000352507195,1.4250017,0.002864204728215105
1,1890.000352254574,1.3580117,0.003222214844276508
1,1900.000352001953,1.3044083,0.003580232522947093
1,1910.000351749331,1.2639927,0.003938260639717182
1,1920.00035149671,1.235585,0.004296266506096555
1,1930.000351244089,1.2157018,0.004654223816246622
1,1940.000350991468,1.2011275,0.005012165131752689
1,1950.000350738846,1.1900096,0.005370128796188367
1,1960.000350486225,1.1813551,0.005728107723534935
1,1970.000350233604,1.1742818,0.006086108023163345
1,1980.000349980983,1.1697559,0.006444092647463083
1,1990.000349728361,1.1654785,0.00680207206949426
1,2000.00034947574,1.1615407,0.007160071827678216
1,2010.000349223119,1.1586227,0.007518064494898749
1,2020.000348970498,1.1561213,0.00787608042764912
1,2030.000348717876,1.153971,0.008234097733755906
1,2040.000348465255,1.1513394,0.008592079029401971
1,2050.000348212634,1.149636,0.00895004569064743
1,2060.000347960013,1.1475431,0.009308041161838506
1,2070.000347707391,1.1456831,0.009666026927715374
1,2080.00034745477,1.1443692,0.01002399835074114
1,2090.000347202149,1.1429905,0.01038198298342195
1,2100.000346949528,1.1409625,0.01073996481841223
1,2110.000346696906,1.140275,0.01109794485681007
1,2120.000346444285,1.1386137,0.01145591582980835
1,2130.000346191664,1.136662,0.01181391841168867
1,2140.000345939043,1.1359783,0.01217194567817284
1,2150.000345686422,1.1346072,0.01252996790607191
1,2160.0003454338,1.1328924,0.0128879800863506
1,2170.000345181179,1.1313647,0.0132459814273417
1,2180.000344928558,1.1292603,0.01360400302352673
1,2190.000344675937,1.126182,0.01396202765458491
1,2200.000344423315,1.1251469,0.01432005838686062
1,2210.000344170694,1.1242608,0.01467804199548231
1,2220.000343918073,1.1232334,0.01503605302533921
1,2230.000343665452,1.1224123,0.01539410305217488
1,2240.00034341283,1.1208845,0.01575213956112249
1,2250.000343160209,1.1198343,0.0161101474059489
1,2260.000342907588,1.1196471,0.01646813345301648
1,2270.000342654967,1.1194752,0.01682610962835037
1,2280.000342402345,1.118807,0.01718410325010203
1,2290.000342149724,1.1175809,0.01754213635745892
1,2300.000341897103,1.1167407,0.01790015795048657
1,2310.000341644482,1.1161907,0.01825814966900232
1,2320.00034139186,1.115106,0.01861614600638217
1,2330.000341139239,1.1144949,0.01897414087340814
1,2340.000340886618,1.1140672,0.01933214276769094
1,2350.000340633997,1.1130627,0.01969016683812853
1,2360.000340381375,1.1124439,0.02004818023107862
1,2370.000340128754,1.1122491,0.0204061678497518
1,2380.000339876133,1.1110691,0.02076413534455911
1,2390.000339623512,1.1106795,0.02112211248697423
1,2400.00033937089,1.1095031,0.02148009560871786
1,2410.000339118269,1.1087356,0.02183807824985599
1,2420.000338865648,1.107456,0.0221960415412709
1,2430.000338613027,1.1064706,0.0225540461093477
1,2440.000338360405,1.1054204,0.02291209020154177
1,2450.000338107784,1.1048856,0.02327009768935789
1,2460.000337855163,1.1044273,0.02362809482967604
1,2470.000337602542,1.103778,0.02398611162714576
1,2480.00033734992,1.1017882,0.02434411256065715
1,2490.000337097299,1.1002988,0.02470210799551837
1,2500.000336844678,1.0990574,0.0250601189840469
1,2510.000336592057,1.0980912,0.02541815302034384
1,2520.000336339435,1.0971822,0.02577617535319841
1,2530.000336086814,1.0959027,0.02613419645455065
1,2540.000335834193,1.0948218,0.02649223314633634
1,2550.000335581572,1.0938212,0.02685024787641978
1,2560.00033532895,1.092389,0.02720823459265298
1,2570.000335076329,1.0907773,0.02756621729929414
1,2580.000334823708,1.0897613,0.02792421481183088
1,2590.000334571087,1.0885506,0.02828220651720961
1,2600.000334318465,1.0878785,0.02864017918697579
1,2610.000334065844,1.0873361,0.0289981515043353
1,2620.000333813223,1.0864462,0.02935614508942597
1,2630.000333560602,1.0843379,0.02971413445849551
1,2640.00033330798,1.083177,0.03007214839024096
1,2650.000333055359,1.0822374,0.03043015696602397
1,2660.000332802738,1.0817409,0.03078819248738388
1,2670.000332550117,1.0803773,0.03114619514951441
1,2680.000332297495,1.0789336,0.03150420296960241
1,2690.000332044874,1.0785785,0.03186220075655314
1,2700.000331792253,1.0778338,0.03222017969649864
1,2710.000331539632,1.0767605,0.03257815103662592
1,2720.00033128701,1.0759661,0.03293615371277347
1,2730.000331034389,1.0757065,0.03329415263877228
1,2740.000330781768,1.0752175,0.03365217275225287
1,2750.000330529147,1.0749235,0.03401019077601779
1,2760.000330276525,1.0744728,0.03436818496405745
1,2770.000330023904,1.0738808,0.03472616692331432
1,2780.000329771283,1.0730788,0.03508412649398378
1,2790.000329518662,1.0720705,0.03544213075008987
1,2800.00032926604,1.0715892,0.03580013143882899
1,2810.000329013419,1.0709704,0.03615810341610012
1,2820.000328760798,1.0705274,0.03651604826919153
1,2830.000328508177,1.069798,0.03687402276236644
1,2840.000328255555,1.068572,0.03723201591580607
1,2850.000328002934,1.0673307,0.03759002015867082
1,2860.000327750313,1.0664179,0.03794805730066778
1,2870.000327497692,1.065402,0.03830607844986599
1,2880.00032724507,1.0649666,0.03866404554358951
1,2890.000326992449,1.0643288,0.03902199428944867
1,2900.000326739828,1.0639774,0.0393799625320186
1,2910.000326487207,1.0634694,0.03973793581527717
1,2920.000326234585,1.0629997,0.04009593074680531
1,2930.000325981964,1.0622435,0.04045393186628071
1,2940.000325729343,1.0618463,0.04081191488064078
1,2950.000325476722,1.0617126,0.04116989553222389
1,2960.0003252241,1.0610137,0.04152789623699997
1,2970.000324971479,1.0605134,0.04188589081580355
1,2980.000324718858,1.0599672,0.04224388454066877
1,2990.000324466237,1.0594821,0.04260187161419621
1,3000.000324213615,1.0592033,0.04295986529535467
1,3010.000323960994,1.0575992,0.04331785229680189
1,3020.000323708373,1.0573167,0.04367583244084068
1,3030.000323455752,1.0563999,0.04403383312389667
1,3040.00032320313,1.0561899,0.04439184234329063
1,3050.000322950509,1.055724,0.04474982738715656
1,3060.000322697888,1.0549104,0.04510779196712455
1,3070.000322445267,1.054521,0.04546577180497097
1,3080.000322192645,1.0537609,0.04582374632637697
1,3090.000321940024,1.053463,0.04618173815623999
1,3100.000321687403,1.0532491,0.04653973331284934
1,3110.000321434782,1.0529588,0.04689771052334041
1,3120.00032118216,1.052489,0.04725566371042858
1,3130.000320929539,1.0520804,0.04761360461287032
1,3140.000320676918,1.0517443,0.04797158456160042
1,3150.000320424297,1.0506673,0.04832955975695034
1,3160.000320171675,1.0499645,0.04868753300035659
1,3170.000319919054,1.0484865,0.04904550691040437
1,3180.000319666433,1.0481122,0.04940349154968226
1,3190.000319413812,1.0475584,0.04976148531232523
1,3200.00031916119,1.0469244,0.05011948420138654
1,3210.000318908569,1.0452324,0.05047749524561892
1,3220.000318655948,1.0440675,0.0508354795001066
1,3230.000318403327,1.0433609,0.05119347855637881
1,3240.000318150705,1.042918,0.05155146373566402
1,3250.000317898084,1.0425284,0.05190944578414076
1,3260.000317645463,1.0422267,0.05226743143311388
1,3270.000317392842,1.0418562,0.05262541317501164
1,3280.00031714022,1.0411649,0.05298340807460742
1,3290.000316887599,1.040298,0.05334140794597646
1,3300.000316634978,1.0397518,0.05369940616172052
1,3310.000316382357,1.0388695,0.05405740894541555
1,3320.000316129735,1.0382661,0.05441538639241785
1,3330.000315877114,1.03759,0.05477336303523263
1,3340.000315624493,1.0371355,0.05513135071945022
1,3350.000315371872,1.0367193,0.05548933963159468
1,3360.00031511925,1.0363641,0.05584732472538117
1,3370.000314866629,1.0356499,0.0562053206778425
1,3380.000314614008,1.0352756,0.05656330047756927
1,3390.000314361387,1.0345536,0.05692125916534742
1,3400.000314108765,1.034042,0.05727924266446958
1,3410.000313856144,1.033492,0.05763725420764251
1,3420.000313603523,1.0329421,0.05799526731353167
1,3430.000313350902,1.0325677,0.05835326436512583
1,3440.00031309828,1.0320903,0.05871124539007657
1,3450.000312845659,1.0317122,0.05906919655713353
1,3460.000312593038,1.030956,0.05942715906479951
1,3470.000312340417,1.0305932,0.05978517215376841
1,3480.000312087795,1.0300509,0.06014317837694698
1,3490.000311835174,1.0290349,0.06050116096120572
1,3500.000311582553,1.0285766,0.06085911270013614
1,3510.000311329932,1.0280304,0.0612170607636405
1,3520.00031107731,1.0275224,0.06157501555458122
1,3530.000310824689,1.0272169,0.06193297212631666
1,3540.000310572068,1.0267433,0.06229096108623011
1,3550.000310319447,1.0261742,0.06264895187828604
1,3560.000310066825,1.0256778,0.06300690415804582
1,3570.000309814204,1.0251697,0.06336486677959557
1,3580.000309561583,1.0244823,0.06372280696841574
1,3590.000309308962,1.024089,0.06408075867926243
1,3600.00030905634,1.0237758,0.06443873193729416
1,3610.000308803719,1.0233175,0.06479668806859185
1,3620.000308551098,1.0227827,0.06515464401971048
1,3630.000308298477,1.0223626,0.06551261469179553
1,3640.000308045855,1.0219271,0.0658705882892153
1,3650.000307793234,1.0215224,0.06622855202498118
1,3660.000307540613,1.0203766,0.06658654318388052
1,3670.000307287992,1.0199679,0.0669445055294939
1,3680.000307035371,1.019292,0.06730246606209209
1,3690.000306782749,1.018826,0.06766045254358233
1,3700.000306530128,1.0183562,0.0680184404279755
1,3710.000306277507,1.018043,0.06837641440553381
1,3720.000306024886,1.0175351,0.06873439037079444
1,3730.000305772264,1.0171798,0.06909238597327386
1,3740.000305519643,1.0169163,0.06945036878778287
1,3750.000305267022,1.0164886,0.06980834695619674
1,3760.000305014401,1.0160799,0.07016635296629534
1,3770.000304761779,1.0156981,0.07052435049709842
1,3780.000304509158,1.0152435,0.07088237354700928
1,3790.000304256537,1.0146973,0.07124037015390229
1,3800.000304003916,1.0143651,0.07159838476342292
